data type,model,init method,prune ratio,restore,number,best accuracy
cifar10,fc3_wobn,kaiming_in,0.92,1,4,58.869998931884766
cifar10,fc3_wobn,kaiming_in,0.98,0,2,51.91999816894531
cifar10,fc3_wobn,xavier,0.90,1,3,59.41999816894531
cifar10,fc3_wobn,xavier,0.96,0,4,56.41999816894531
cifar10,fc3_wobn,kaiming_out,0.96,0,5,56.209999084472656
cifar10,fc3_wobn,kaiming_out,0.92,1,4,58.13999938964844
cifar10,fc3_wobn,kaiming_in,0.96,1,4,56.470001220703125
cifar10,fc3_wobn,kaiming_in,0.94,1,3,57.63999938964844
cifar10,fc3_wobn,kaiming_out,0.96,0,3,56.70000076293945
cifar10,fc3_wobn,kaiming_in,0.88,1,5,59.880001068115234
cifar10,fc3_wobn,xavier,0.88,1,2,58.630001068115234
cifar10,fc3_wobn,xavier,0.82,1,5,60.27000045776367
cifar10,fc3_wobn,kaiming_out,0.94,1,1,57.70000076293945
cifar10,fc3_wobn,xavier,0.80,1,4,60.400001525878906
cifar10,fc3_wobn,kaiming_in,0.82,1,2,59.650001525878906
cifar10,fc3_wobn,xavier,0.98,1,2,52.91999816894531
cifar10,fc3_wobn,kaiming_in,0.94,0,3,57.29999923706055
cifar10,fc3_wobn,xavier,0.94,1,3,58.130001068115234
cifar10,fc3_wobn,kaiming_in,0.98,0,4,51.45000076293945
cifar10,fc3_wobn,xavier,0.80,1,2,59.68000030517578
cifar10,fc3_wobn,xavier,0.92,1,4,58.630001068115234
cifar10,fc3_wobn,kaiming_in,0.82,0,4,60.029998779296875
cifar10,fc3_wobn,kaiming_out,0.86,0,5,59.41999816894531
cifar10,fc3_wobn,kaiming_out,0.92,0,1,59.09000015258789
cifar10,fc3_wobn,kaiming_out,0.86,0,3,59.77000045776367
cifar10,fc3_wobn,xavier,0.88,0,5,59.58000183105469
cifar10,fc3_wobn,kaiming_out,0.86,1,2,60.34000015258789
cifar10,fc3_wobn,kaiming_in,0.86,1,5,59.9900016784668
cifar10,fc3_wobn,xavier,0.96,0,5,55.9900016784668
cifar10,fc3_wobn,kaiming_in,0.84,1,1,60.2599983215332
cifar10,fc3_wobn,xavier,0.82,0,2,60.47999954223633
cifar10,fc3_wobn,kaiming_out,0.82,0,4,58.59000015258789
cifar10,fc3_wobn,kaiming_in,0.84,0,2,60.0
cifar10,fc3_wobn,kaiming_in,0.90,1,3,58.720001220703125
cifar10,fc3_wobn,kaiming_in,0.92,0,4,58.900001525878906
cifar10,fc3_wobn,xavier,0.82,1,2,60.43000030517578
cifar10,fc3_wobn,xavier,0.96,0,2,56.54999923706055
cifar10,fc3_wobn,kaiming_out,0.96,1,1,56.310001373291016
cifar10,fc3_wobn,kaiming_out,0.94,0,3,58.13999938964844
cifar10,fc3_wobn,xavier,0.94,1,1,57.45000076293945
cifar10,fc3_wobn,xavier,0.86,0,4,60.060001373291016
cifar10,fc3_wobn,kaiming_in,0.82,1,1,60.97999954223633
cifar10,fc3_wobn,xavier,0.84,0,2,59.91999816894531
cifar10,fc3_wobn,kaiming_in,0.84,1,3,59.83000183105469
cifar10,fc3_wobn,xavier,0.96,0,1,56.369998931884766
cifar10,fc3_wobn,kaiming_in,0.88,1,2,60.150001525878906
cifar10,fc3_wobn,kaiming_in,0.94,0,1,57.709999084472656
cifar10,fc3_wobn,xavier,0.94,0,2,57.79999923706055
cifar10,fc3_wobn,kaiming_out,0.94,0,1,58.11000061035156
cifar10,fc3_wobn,kaiming_out,0.94,0,5,57.560001373291016
cifar10,fc3_wobn,kaiming_out,0.84,1,4,59.95000076293945
cifar10,fc3_wobn,kaiming_in,0.80,0,3,60.0099983215332
cifar10,fc3_wobn,kaiming_out,0.98,1,2,52.189998626708984
cifar10,fc3_wobn,kaiming_in,0.88,1,1,59.83000183105469
cifar10,fc3_wobn,kaiming_out,0.96,0,4,55.97999954223633
cifar10,fc3_wobn,kaiming_out,0.84,0,5,59.13999938964844
cifar10,fc3_wobn,xavier,0.98,0,2,52.11000061035156
cifar10,fc3_wobn,kaiming_out,0.86,1,4,59.540000915527344
cifar10,fc3_wobn,xavier,0.90,0,3,59.15999984741211
cifar10,fc3_wobn,xavier,0.92,0,3,58.72999954223633
cifar10,fc3_wobn,kaiming_out,0.82,0,2,58.90999984741211
cifar10,fc3_wobn,kaiming_in,0.86,0,3,60.189998626708984
cifar10,fc3_wobn,xavier,0.92,1,5,58.189998626708984
cifar10,fc3_wobn,kaiming_in,0.80,1,2,60.560001373291016
cifar10,fc3_wobn,xavier,0.82,0,4,59.68000030517578
cifar10,fc3_wobn,xavier,0.86,0,5,60.310001373291016
cifar10,fc3_wobn,xavier,0.98,0,1,51.599998474121094
cifar10,fc3_wobn,kaiming_out,0.92,1,5,58.84000015258789
cifar10,fc3_wobn,kaiming_out,0.80,0,5,59.2599983215332
cifar10,fc3_wobn,xavier,0.98,1,5,52.58000183105469
cifar10,fc3_wobn,kaiming_in,0.92,0,3,59.209999084472656
cifar10,fc3_wobn,xavier,0.94,1,2,58.13999938964844
cifar10,fc3_wobn,kaiming_out,0.90,1,3,59.5
cifar10,fc3_wobn,xavier,0.80,0,1,60.40999984741211
cifar10,fc3_wobn,kaiming_out,0.86,0,2,59.47999954223633
cifar10,fc3_wobn,xavier,0.90,0,5,59.880001068115234
cifar10,fc3_wobn,kaiming_out,0.82,1,2,60.91999816894531
cifar10,fc3_wobn,kaiming_out,0.88,0,2,59.689998626708984
cifar10,fc3_wobn,kaiming_out,0.82,0,3,58.7599983215332
cifar10,fc3_wobn,kaiming_in,0.90,1,5,59.97999954223633
cifar10,fc3_wobn,kaiming_out,0.82,0,1,59.0
cifar10,fc3_wobn,xavier,0.82,1,4,59.68000030517578
cifar10,fc3_wobn,xavier,0.90,1,5,59.5
cifar10,fc3_wobn,xavier,0.88,1,4,59.689998626708984
cifar10,fc3_wobn,xavier,0.86,0,2,60.349998474121094
cifar10,fc3_wobn,kaiming_out,0.80,1,5,59.91999816894531
cifar10,fc3_wobn,kaiming_out,0.98,1,4,52.33000183105469
cifar10,fc3_wobn,kaiming_in,0.98,1,4,53.09000015258789
cifar10,fc3_wobn,kaiming_in,0.98,0,3,51.91999816894531
cifar10,fc3_wobn,kaiming_out,0.90,0,2,59.25
cifar10,fc3_wobn,kaiming_in,0.82,0,2,59.400001525878906
cifar10,fc3_wobn,kaiming_out,0.94,1,2,57.779998779296875
cifar10,fc3_wobn,xavier,0.86,1,1,59.88999938964844
cifar10,fc3_wobn,kaiming_out,0.98,0,1,53.16999816894531
cifar10,fc3_wobn,xavier,0.80,1,1,59.97999954223633
cifar10,fc3_wobn,kaiming_out,0.80,0,2,58.5099983215332
cifar10,fc3_wobn,kaiming_in,0.80,1,1,60.040000915527344
cifar10,fc3_wobn,kaiming_out,0.96,1,5,56.220001220703125
cifar10,fc3_wobn,kaiming_out,0.90,1,4,59.209999084472656
cifar10,fc3_wobn,xavier,0.98,1,3,52.18000030517578
cifar10,fc3_wobn,kaiming_in,0.80,0,2,60.4900016784668
cifar10,fc3_wobn,kaiming_out,0.84,1,1,60.15999984741211
cifar10,fc3_wobn,xavier,0.96,1,1,56.310001373291016
cifar10,fc3_wobn,kaiming_in,0.90,0,3,59.70000076293945
cifar10,fc3_wobn,xavier,0.88,1,3,60.27000045776367
cifar10,fc3_wobn,kaiming_out,0.82,1,3,60.02000045776367
cifar10,fc3_wobn,xavier,0.98,1,1,52.060001373291016
cifar10,fc3_wobn,kaiming_out,0.80,1,2,59.959999084472656
cifar10,fc3_wobn,xavier,0.82,0,1,59.77000045776367
cifar10,fc3_wobn,kaiming_in,0.80,1,5,59.95000076293945
cifar10,fc3_wobn,xavier,0.90,1,2,59.0099983215332
cifar10,fc3_wobn,xavier,0.98,0,4,52.209999084472656
cifar10,fc3_wobn,kaiming_in,0.98,0,1,51.61000061035156
cifar10,fc3_wobn,kaiming_out,0.96,1,3,56.599998474121094
cifar10,fc3_wobn,kaiming_out,0.92,0,3,58.4900016784668
cifar10,fc3_wobn,xavier,0.98,0,3,52.13999938964844
cifar10,fc3_wobn,kaiming_in,0.90,1,4,59.720001220703125
cifar10,fc3_wobn,xavier,0.80,0,4,59.470001220703125
cifar10,fc3_wobn,kaiming_out,0.84,0,3,59.36000061035156
cifar10,fc3_wobn,kaiming_in,0.84,0,1,59.75
cifar10,fc3_wobn,kaiming_in,0.88,1,3,59.68000030517578
cifar10,fc3_wobn,kaiming_in,0.90,0,2,59.209999084472656
cifar10,fc3_wobn,xavier,0.92,0,2,59.099998474121094
cifar10,fc3_wobn,xavier,0.90,1,1,58.900001525878906
cifar10,fc3_wobn,kaiming_in,0.90,0,5,59.61000061035156
cifar10,fc3_wobn,kaiming_out,0.88,0,3,59.290000915527344
cifar10,fc3_wobn,kaiming_in,0.80,1,4,60.470001220703125
cifar10,fc3_wobn,kaiming_in,0.96,1,1,56.31999969482422
cifar10,fc3_wobn,kaiming_out,0.82,1,4,60.02000045776367
cifar10,fc3_wobn,xavier,0.88,1,1,60.130001068115234
cifar10,fc3_wobn,xavier,0.84,0,5,60.33000183105469
cifar10,fc3_wobn,kaiming_out,0.88,0,4,59.310001373291016
cifar10,fc3_wobn,kaiming_in,0.98,1,2,51.97999954223633
cifar10,fc3_wobn,kaiming_out,0.86,1,5,60.189998626708984
cifar10,fc3_wobn,xavier,0.94,1,4,57.689998626708984
cifar10,fc3_wobn,kaiming_in,0.82,1,5,60.560001373291016
cifar10,fc3_wobn,kaiming_out,0.86,1,1,60.09000015258789
cifar10,fc3_wobn,kaiming_in,0.96,0,5,56.38999938964844
cifar10,fc3_wobn,kaiming_in,0.92,1,2,59.13999938964844
cifar10,fc3_wobn,kaiming_in,0.86,1,4,59.900001525878906
cifar10,fc3_wobn,kaiming_out,0.88,1,5,59.81999969482422
cifar10,fc3_wobn,kaiming_out,0.80,1,1,60.310001373291016
cifar10,fc3_wobn,kaiming_out,0.96,1,2,56.369998931884766
cifar10,fc3_wobn,xavier,0.90,1,4,59.279998779296875
cifar10,fc3_wobn,kaiming_in,0.94,1,1,57.61000061035156
cifar10,fc3_wobn,kaiming_in,0.86,0,5,60.18000030517578
cifar10,fc3_wobn,xavier,0.82,1,1,60.31999969482422
cifar10,fc3_wobn,kaiming_in,0.94,1,2,57.18000030517578
cifar10,fc3_wobn,kaiming_out,0.96,0,2,56.08000183105469
cifar10,fc3_wobn,xavier,0.84,1,4,60.06999969482422
cifar10,fc3_wobn,kaiming_in,0.94,1,4,57.7599983215332
cifar10,fc3_wobn,xavier,0.98,1,4,52.43000030517578
cifar10,fc3_wobn,kaiming_out,0.90,0,5,59.439998626708984
cifar10,fc3_wobn,kaiming_in,0.86,0,2,59.029998779296875
cifar10,fc3_wobn,xavier,0.86,1,2,60.189998626708984
cifar10,fc3_wobn,kaiming_in,0.92,0,1,58.88999938964844
cifar10,fc3_wobn,kaiming_out,0.92,0,5,58.72999954223633
cifar10,fc3_wobn,xavier,0.98,0,5,52.5099983215332
cifar10,fc3_wobn,xavier,0.88,0,1,59.04999923706055
cifar10,fc3_wobn,xavier,0.88,0,3,59.189998626708984
cifar10,fc3_wobn,kaiming_in,0.94,0,5,57.18000030517578
cifar10,fc3_wobn,kaiming_out,0.82,1,1,60.349998474121094
cifar10,fc3_wobn,kaiming_out,0.86,0,4,59.83000183105469
cifar10,fc3_wobn,kaiming_in,0.88,0,4,59.72999954223633
cifar10,fc3_wobn,kaiming_in,0.98,1,1,52.369998931884766
cifar10,fc3_wobn,xavier,0.80,1,3,60.130001068115234
cifar10,fc3_wobn,kaiming_in,0.88,0,2,59.540000915527344
cifar10,fc3_wobn,xavier,0.82,0,3,59.97999954223633
cifar10,fc3_wobn,kaiming_out,0.88,0,1,59.52000045776367
cifar10,fc3_wobn,kaiming_out,0.88,1,4,59.70000076293945
cifar10,fc3_wobn,kaiming_out,0.80,1,4,60.0099983215332
cifar10,fc3_wobn,kaiming_in,0.98,1,5,51.970001220703125
cifar10,fc3_wobn,kaiming_out,0.90,0,4,58.869998931884766
cifar10,fc3_wobn,kaiming_out,0.90,1,5,60.0
cifar10,fc3_wobn,kaiming_in,0.90,1,1,59.279998779296875
cifar10,fc3_wobn,xavier,0.90,0,1,58.9900016784668
cifar10,fc3_wobn,kaiming_out,0.98,0,3,52.29999923706055
cifar10,fc3_wobn,kaiming_out,0.94,1,3,57.90999984741211
cifar10,fc3_wobn,kaiming_out,0.94,1,5,57.5
cifar10,fc3_wobn,xavier,0.92,0,1,58.77000045776367
cifar10,fc3_wobn,kaiming_in,0.80,1,3,60.16999816894531
cifar10,fc3_wobn,xavier,0.96,1,5,56.099998474121094
cifar10,fc3_wobn,xavier,0.90,0,4,59.400001525878906
cifar10,fc3_wobn,kaiming_out,0.94,1,4,57.97999954223633
cifar10,fc3_wobn,kaiming_out,0.98,1,3,53.029998779296875
cifar10,fc3_wobn,kaiming_in,0.92,1,5,58.41999816894531
cifar10,fc3_wobn,kaiming_in,0.84,1,5,59.16999816894531
cifar10,fc3_wobn,xavier,0.84,1,1,59.77000045776367
cifar10,fc3_wobn,xavier,0.96,1,3,56.630001068115234
cifar10,fc3_wobn,kaiming_in,0.94,0,4,56.81999969482422
cifar10,fc3_wobn,xavier,0.88,0,4,60.0
cifar10,fc3_wobn,xavier,0.96,0,3,56.380001068115234
cifar10,fc3_wobn,kaiming_in,0.88,1,4,60.029998779296875
cifar10,fc3_wobn,kaiming_in,0.88,0,3,59.630001068115234
cifar10,fc3_wobn,xavier,0.86,1,4,59.869998931884766
cifar10,fc3_wobn,kaiming_out,0.88,1,1,59.709999084472656
cifar10,fc3_wobn,kaiming_out,0.92,0,2,57.84000015258789
cifar10,fc3_wobn,kaiming_in,0.98,0,5,52.38999938964844
cifar10,fc3_wobn,kaiming_out,0.84,0,2,59.369998931884766
cifar10,fc3_wobn,kaiming_in,0.86,1,1,59.77000045776367
cifar10,fc3_wobn,xavier,0.88,1,5,60.400001525878906
cifar10,fc3_wobn,kaiming_out,0.98,1,5,51.560001373291016
cifar10,fc3_wobn,xavier,0.84,1,2,60.08000183105469
cifar10,fc3_wobn,xavier,0.80,0,5,60.630001068115234
cifar10,fc3_wobn,kaiming_out,0.80,1,3,59.81999969482422
cifar10,fc3_wobn,kaiming_out,0.92,1,2,58.470001220703125
cifar10,fc3_wobn,kaiming_out,0.98,1,1,52.2400016784668
cifar10,fc3_wobn,kaiming_out,0.90,0,3,59.2599983215332
cifar10,fc3_wobn,xavier,0.94,1,5,57.93000030517578
cifar10,fc3_wobn,kaiming_in,0.92,1,1,59.040000915527344
cifar10,fc3_wobn,xavier,0.84,0,1,59.93000030517578
cifar10,fc3_wobn,kaiming_in,0.82,1,3,60.220001220703125
cifar10,fc3_wobn,xavier,0.86,0,1,59.959999084472656
cifar10,fc3_wobn,kaiming_in,0.86,1,3,59.59000015258789
cifar10,fc3_wobn,xavier,0.80,0,2,60.400001525878906
cifar10,fc3_wobn,kaiming_out,0.98,0,5,52.290000915527344
cifar10,fc3_wobn,xavier,0.86,0,3,60.209999084472656
cifar10,fc3_wobn,kaiming_in,0.98,1,3,52.7400016784668
cifar10,fc3_wobn,xavier,0.94,0,4,57.86000061035156
cifar10,fc3_wobn,xavier,0.84,1,5,60.08000183105469
cifar10,fc3_wobn,kaiming_in,0.88,0,1,59.7599983215332
cifar10,fc3_wobn,kaiming_out,0.96,1,4,56.36000061035156
cifar10,fc3_wobn,xavier,0.80,0,3,60.0099983215332
cifar10,fc3_wobn,kaiming_out,0.84,1,3,60.0
cifar10,fc3_wobn,kaiming_out,0.90,0,1,58.86000061035156
cifar10,fc3_wobn,kaiming_in,0.96,0,4,56.630001068115234
cifar10,fc3_wobn,kaiming_out,0.82,0,5,58.97999954223633
cifar10,fc3_wobn,kaiming_out,0.86,1,3,60.33000183105469
cifar10,fc3_wobn,kaiming_out,0.98,0,4,51.86000061035156
cifar10,fc3_wobn,kaiming_in,0.94,0,2,58.040000915527344
cifar10,fc3_wobn,kaiming_in,0.96,1,3,56.369998931884766
cifar10,fc3_wobn,kaiming_in,0.92,0,2,58.689998626708984
cifar10,fc3_wobn,kaiming_out,0.80,0,1,58.099998474121094
cifar10,fc3_wobn,kaiming_out,0.82,1,5,59.91999816894531
cifar10,fc3_wobn,kaiming_out,0.90,1,1,58.630001068115234
cifar10,fc3_wobn,xavier,0.92,0,4,58.400001525878906
cifar10,fc3_wobn,xavier,0.88,0,2,59.790000915527344
cifar10,fc3_wobn,kaiming_out,0.84,0,4,59.459999084472656
cifar10,fc3_wobn,kaiming_out,0.88,1,3,59.4900016784668
cifar10,fc3_wobn,xavier,0.96,1,4,56.290000915527344
cifar10,fc3_wobn,kaiming_in,0.80,0,5,60.040000915527344
cifar10,fc3_wobn,kaiming_in,0.96,0,2,56.099998474121094
cifar10,fc3_wobn,xavier,0.84,0,3,60.279998779296875
cifar10,fc3_wobn,xavier,0.84,0,4,60.81999969482422
cifar10,fc3_wobn,xavier,0.86,1,5,59.81999969482422
cifar10,fc3_wobn,kaiming_in,0.96,0,1,56.08000183105469
cifar10,fc3_wobn,kaiming_in,0.84,0,5,60.040000915527344
cifar10,fc3_wobn,kaiming_out,0.80,0,4,59.08000183105469
cifar10,fc3_wobn,kaiming_in,0.82,1,4,60.33000183105469
cifar10,fc3_wobn,kaiming_in,0.82,0,1,60.29999923706055
cifar10,fc3_wobn,kaiming_out,0.96,0,1,56.470001220703125
cifar10,fc3_wobn,kaiming_in,0.80,0,4,60.70000076293945
cifar10,fc3_wobn,kaiming_in,0.86,0,1,59.880001068115234
cifar10,fc3_wobn,xavier,0.94,0,3,57.619998931884766
cifar10,fc3_wobn,xavier,0.96,1,2,56.58000183105469
cifar10,fc3_wobn,xavier,0.92,1,1,58.9900016784668
cifar10,fc3_wobn,kaiming_out,0.92,1,1,58.13999938964844
cifar10,fc3_wobn,kaiming_in,0.82,0,3,60.15999984741211
cifar10,fc3_wobn,kaiming_out,0.80,0,3,58.79999923706055
cifar10,fc3_wobn,kaiming_out,0.84,1,5,60.54999923706055
cifar10,fc3_wobn,xavier,0.80,1,5,60.939998626708984
cifar10,fc3_wobn,kaiming_in,0.92,0,5,58.06999969482422
cifar10,fc3_wobn,kaiming_in,0.84,1,4,59.88999938964844
cifar10,fc3_wobn,xavier,0.92,0,5,58.58000183105469
cifar10,fc3_wobn,kaiming_out,0.90,1,2,59.61000061035156
cifar10,fc3_wobn,xavier,0.82,0,5,59.560001373291016
cifar10,fc3_wobn,kaiming_in,0.90,1,2,58.97999954223633
cifar10,fc3_wobn,kaiming_in,0.84,1,2,60.150001525878906
cifar10,fc3_wobn,kaiming_in,0.88,0,5,59.75
cifar10,fc3_wobn,kaiming_out,0.88,0,5,59.560001373291016
cifar10,fc3_wobn,xavier,0.92,1,2,59.16999816894531
cifar10,fc3_wobn,kaiming_out,0.86,0,1,59.7400016784668
cifar10,fc3_wobn,kaiming_in,0.86,0,4,59.72999954223633
cifar10,fc3_wobn,kaiming_in,0.86,1,2,59.939998626708984
cifar10,fc3_wobn,kaiming_out,0.98,0,2,51.810001373291016
cifar10,fc3_wobn,kaiming_out,0.92,1,3,58.86000061035156
cifar10,fc3_wobn,kaiming_out,0.88,1,2,59.25
cifar10,fc3_wobn,kaiming_in,0.96,1,2,56.279998779296875
cifar10,fc3_wobn,kaiming_in,0.84,0,4,60.0
cifar10,fc3_wobn,kaiming_out,0.94,0,4,58.470001220703125
cifar10,fc3_wobn,kaiming_in,0.96,1,5,56.09000015258789
cifar10,fc3_wobn,kaiming_out,0.94,0,2,57.939998626708984
cifar10,fc3_wobn,kaiming_in,0.84,0,3,59.66999816894531
cifar10,fc3_wobn,kaiming_out,0.84,1,2,59.880001068115234
cifar10,fc3_wobn,kaiming_out,0.84,0,1,59.54999923706055
cifar10,fc3_wobn,xavier,0.90,0,2,59.630001068115234
cifar10,fc3_wobn,kaiming_in,0.90,0,4,59.02000045776367
cifar10,fc3_wobn,xavier,0.94,0,1,57.63999938964844
cifar10,fc3_wobn,xavier,0.86,1,3,60.0099983215332
cifar10,fc3_wobn,kaiming_in,0.96,0,3,56.0099983215332
cifar10,fc3_wobn,kaiming_in,0.82,0,5,60.060001373291016
cifar10,fc3_wobn,xavier,0.84,1,3,60.25
cifar10,fc3_wobn,kaiming_out,0.92,0,4,59.0
cifar10,fc3_wobn,kaiming_in,0.94,1,5,57.84000015258789
cifar10,fc3_wobn,kaiming_in,0.92,1,3,59.11000061035156
cifar10,fc3_wobn,xavier,0.92,1,3,58.93000030517578
cifar10,fc3_wobn,xavier,0.94,0,5,57.79999923706055
cifar10,fc3_wobn,kaiming_in,0.80,0,1,60.689998626708984
cifar10,fc3_wobn,kaiming_in,0.90,0,1,59.209999084472656
cifar10,fc3_wobn,xavier,0.82,1,3,60.0
cifar10,fc3,kaiming_in,0.90,2,3,61.150001525878906
cifar10,fc3,kaiming_in,0.92,1,4,60.400001525878906
cifar10,fc3,kaiming_in,0.98,0,2,52.90999984741211
cifar10,fc3,kaiming_out,0.80,3,3,63.970001220703125
cifar10,fc3,kaiming_in,0.86,2,1,62.06999969482422
cifar10,fc3,kaiming_out,0.84,2,3,62.61000061035156
cifar10,fc3,xavier,0.90,1,3,61.4900016784668
cifar10,fc3,kaiming_out,0.90,3,5,61.31999969482422
cifar10,fc3,xavier,0.90,2,4,61.47999954223633
cifar10,fc3,xavier,0.96,0,4,57.38999938964844
cifar10,fc3,kaiming_out,0.96,0,5,57.4900016784668
cifar10,fc3,kaiming_in,0.84,2,3,62.540000915527344
cifar10,fc3,kaiming_out,0.84,3,3,63.029998779296875
cifar10,fc3,kaiming_out,0.82,2,1,63.310001373291016
cifar10,fc3,kaiming_out,0.86,2,3,62.15999984741211
cifar10,fc3,kaiming_out,0.92,2,1,60.400001525878906
cifar10,fc3,kaiming_in,0.86,2,5,62.599998474121094
cifar10,fc3,kaiming_in,0.90,3,1,61.13999938964844
cifar10,fc3,kaiming_in,0.88,2,2,61.650001525878906
cifar10,fc3,kaiming_out,0.92,1,4,60.08000183105469
cifar10,fc3,kaiming_out,0.96,2,2,57.459999084472656
cifar10,fc3,kaiming_in,0.96,1,4,57.779998779296875
cifar10,fc3,kaiming_in,0.98,2,4,53.900001525878906
cifar10,fc3,kaiming_out,0.96,3,2,58.099998474121094
cifar10,fc3,kaiming_in,0.94,1,3,59.09000015258789
cifar10,fc3,xavier,0.98,3,4,53.47999954223633
cifar10,fc3,kaiming_out,0.94,3,1,59.13999938964844
cifar10,fc3,kaiming_in,0.90,2,1,61.279998779296875
cifar10,fc3,kaiming_out,0.96,0,3,57.060001373291016
cifar10,fc3,xavier,0.86,3,1,62.36000061035156
cifar10,fc3,kaiming_in,0.88,1,5,62.45000076293945
cifar10,fc3,xavier,0.88,1,2,62.25
cifar10,fc3,xavier,0.82,1,5,63.279998779296875
cifar10,fc3,xavier,0.96,3,3,57.279998779296875
cifar10,fc3,kaiming_out,0.84,3,1,62.880001068115234
cifar10,fc3,kaiming_out,0.94,1,1,59.41999816894531
cifar10,fc3,kaiming_in,0.80,3,5,63.75
cifar10,fc3,xavier,0.80,1,4,63.72999954223633
cifar10,fc3,kaiming_in,0.82,1,2,63.08000183105469
cifar10,fc3,xavier,0.86,2,3,62.380001068115234
cifar10,fc3,kaiming_in,0.94,3,4,59.150001525878906
cifar10,fc3,kaiming_out,0.92,2,3,60.56999969482422
cifar10,fc3,xavier,0.98,1,2,52.790000915527344
cifar10,fc3,kaiming_in,0.80,2,3,63.619998931884766
cifar10,fc3,xavier,0.90,2,3,61.209999084472656
cifar10,fc3,kaiming_in,0.88,3,1,62.130001068115234
cifar10,fc3,kaiming_in,0.94,3,1,59.459999084472656
cifar10,fc3,kaiming_in,0.94,0,3,59.06999969482422
cifar10,fc3,xavier,0.80,3,5,63.540000915527344
cifar10,fc3,xavier,0.94,1,3,59.45000076293945
cifar10,fc3,xavier,0.88,2,4,61.79999923706055
cifar10,fc3,kaiming_in,0.82,3,3,63.439998626708984
cifar10,fc3,kaiming_in,0.98,0,4,53.13999938964844
cifar10,fc3,kaiming_in,0.82,3,5,63.09000015258789
cifar10,fc3,kaiming_out,0.90,3,1,60.79999923706055
cifar10,fc3,xavier,0.80,1,2,63.650001525878906
cifar10,fc3,kaiming_in,0.86,3,4,62.90999984741211
cifar10,fc3,xavier,0.92,1,4,60.220001220703125
cifar10,fc3,kaiming_in,0.82,2,5,62.810001373291016
cifar10,fc3,xavier,0.88,2,5,62.29999923706055
cifar10,fc3,kaiming_in,0.82,0,4,63.560001373291016
cifar10,fc3,kaiming_in,0.84,3,5,62.81999969482422
cifar10,fc3,xavier,0.82,3,5,63.619998931884766
cifar10,fc3,kaiming_out,0.86,0,5,62.290000915527344
cifar10,fc3,kaiming_out,0.92,0,1,60.52000045776367
cifar10,fc3,kaiming_in,0.84,2,4,62.619998931884766
cifar10,fc3,kaiming_out,0.82,3,4,63.31999969482422
cifar10,fc3,kaiming_out,0.84,3,5,62.88999938964844
cifar10,fc3,kaiming_in,0.96,2,4,57.61000061035156
cifar10,fc3,kaiming_in,0.98,3,3,53.11000061035156
cifar10,fc3,kaiming_out,0.96,3,4,57.97999954223633
cifar10,fc3,kaiming_out,0.82,2,5,63.27000045776367
cifar10,fc3,xavier,0.90,3,5,60.970001220703125
cifar10,fc3,kaiming_out,0.86,0,3,62.59000015258789
cifar10,fc3,xavier,0.90,2,2,61.27000045776367
cifar10,fc3,xavier,0.88,0,5,61.970001220703125
cifar10,fc3,kaiming_out,0.86,1,2,62.81999969482422
cifar10,fc3,kaiming_in,0.86,1,5,62.13999938964844
cifar10,fc3,xavier,0.88,3,1,61.56999969482422
cifar10,fc3,xavier,0.92,2,3,61.150001525878906
cifar10,fc3,xavier,0.96,0,5,57.720001220703125
cifar10,fc3,kaiming_in,0.84,1,1,63.0099983215332
cifar10,fc3,xavier,0.82,0,2,63.08000183105469
cifar10,fc3,kaiming_out,0.82,0,4,63.2599983215332
cifar10,fc3,kaiming_in,0.84,0,2,62.900001525878906
cifar10,fc3,kaiming_in,0.82,2,4,63.04999923706055
cifar10,fc3,kaiming_in,0.90,1,3,61.619998931884766
cifar10,fc3,xavier,0.94,3,4,59.290000915527344
cifar10,fc3,xavier,0.82,2,3,63.459999084472656
cifar10,fc3,kaiming_in,0.92,0,4,60.45000076293945
cifar10,fc3,xavier,0.80,2,3,63.95000076293945
cifar10,fc3,xavier,0.82,1,2,63.52000045776367
cifar10,fc3,xavier,0.96,0,2,57.560001373291016
cifar10,fc3,kaiming_out,0.96,1,1,57.40999984741211
cifar10,fc3,kaiming_out,0.94,0,3,58.970001220703125
cifar10,fc3,kaiming_in,0.84,3,3,63.15999984741211
cifar10,fc3,xavier,0.94,1,1,59.40999984741211
cifar10,fc3,xavier,0.86,0,4,62.529998779296875
cifar10,fc3,kaiming_in,0.98,2,2,53.349998474121094
cifar10,fc3,kaiming_in,0.94,3,2,59.58000183105469
cifar10,fc3,kaiming_in,0.82,1,1,62.970001220703125
cifar10,fc3,xavier,0.84,0,2,63.029998779296875
cifar10,fc3,xavier,0.92,3,2,60.33000183105469
cifar10,fc3,kaiming_in,0.98,3,5,52.9900016784668
cifar10,fc3,kaiming_out,0.90,2,3,61.209999084472656
cifar10,fc3,kaiming_in,0.84,1,3,62.88999938964844
cifar10,fc3,xavier,0.96,0,1,57.54999923706055
cifar10,fc3,xavier,0.94,3,1,59.2400016784668
cifar10,fc3,kaiming_in,0.92,2,1,60.33000183105469
cifar10,fc3,kaiming_in,0.88,1,2,61.790000915527344
cifar10,fc3,xavier,0.80,3,3,63.59000015258789
cifar10,fc3,kaiming_in,0.96,3,5,58.06999969482422
cifar10,fc3,xavier,0.84,2,2,62.90999984741211
cifar10,fc3,kaiming_in,0.88,2,3,62.22999954223633
